i,book_id,title,authors,original_publication_year,average_rating,tags_text,small_image_url,ratings_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,isbn13,image_url,google_cover_url,google_cover_url_large
0,1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,2008.0,4.34,favorites currently-reading young-adult fiction dystopian,https://images.gr-assets.com/books/1447303603s/2767052.jpg,4780653,66715,127936,560092,1481305,2706317,9780439023480,https://images.gr-assets.com/books/1447303603m/2767052.jpg,,
1,2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré",1997.0,4.44,to-read favorites fantasy currently-reading young-adult,https://images.gr-assets.com/books/1474154022s/3.jpg,4602479,75504,101676,455024,1156318,3011543,9780439554930,https://images.gr-assets.com/books/1474154022m/3.jpg,,
2,3,"Twilight (Twilight, #1)",Stephenie Meyer,2005.0,3.57,young-adult fantasy favorites vampires ya,https://images.gr-assets.com/books/1361039443s/41865.jpg,3866839,456191,436802,793319,875073,1355439,9780316015840,https://images.gr-assets.com/books/1361039443m/41865.jpg,,
3,4,To Kill a Mockingbird,Harper Lee,1960.0,4.25,classics favorites to-read classic historical-fiction,https://images.gr-assets.com/books/1361975680s/2657.jpg,3198671,60427,117415,446835,1001952,1714267,9780061120080,https://images.gr-assets.com/books/1361975680m/2657.jpg,,
4,5,The Great Gatsby,F. Scott Fitzgerald,1925.0,3.89,classics favorites fiction classic books-i-own,https://images.gr-assets.com/books/1490528560s/4671.jpg,2683664,86236,197621,606158,936012,947718,9780743273560,https://images.gr-assets.com/books/1490528560m/4671.jpg,,
5,6,The Fault in Our Stars,John Green,2012.0,4.26,favorites to-read young-adult fiction ya,https://images.gr-assets.com/books/1360206420s/11870085.jpg,2346404,47994,92723,327550,698471,1311871,9780525478810,https://images.gr-assets.com/books/1360206420m/11870085.jpg,,
6,7,The Hobbit,J.R.R. Tolkien,1937.0,4.25,fantasy favorites classics to-read fiction,https://images.gr-assets.com/books/1372847500s/5907.jpg,2071616,46023,76784,288649,665635,1119718,9780618260300,https://images.gr-assets.com/books/1372847500m/5907.jpg,,
7,8,The Catcher in the Rye,J.D. Salinger,1951.0,3.79,classics favorites fiction to-read classic,https://images.gr-assets.com/books/1398034300s/5107.jpg,2044241,109383,185520,455042,661516,709176,9780316769170,https://images.gr-assets.com/books/1398034300m/5107.jpg,,
8,9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,2000.0,3.85,to-read fiction mystery favorites thriller,https://images.gr-assets.com/books/1303390735s/960.jpg,2001311,77841,145740,458429,716569,680175,9781416524790,https://images.gr-assets.com/books/1303390735m/960.jpg,,
9,10,Pride and Prejudice,Jane Austen,1813.0,4.24,classics favorites fiction romance classic,https://images.gr-assets.com/books/1320399351s/1885.jpg,2035490,54700,86485,284852,609755,1155673,9780679783270,https://images.gr-assets.com/books/1320399351m/1885.jpg,,
10,11,The Kite Runner,Khaled Hosseini,2003.0,4.26,favorites fiction to-read historical-fiction books-i-own,https://images.gr-assets.com/books/1484565687s/77203.jpg,1813044,34288,59980,226062,628174,929591,9781594480000,https://images.gr-assets.com/books/1484565687m/77203.jpg,,
11,12,"Divergent (Divergent, #1)",Veronica Roth,2011.0,4.24,favorites currently-reading to-read young-adult dystopian,https://images.gr-assets.com/books/1328559506s/13335037.jpg,1903563,36315,82870,310297,673028,1114304,9780062024040,https://images.gr-assets.com/books/1328559506m/13335037.jpg,,
12,13,1984,"George Orwell, Erich Fromm, Celâl Üster",1949.0,4.14,fiction science-fiction sci-fi dystopian classic,https://images.gr-assets.com/books/1348990566s/5470.jpg,1956832,41845,86425,324874,692021,908229,9780451524940,https://images.gr-assets.com/books/1348990566m/5470.jpg,,
13,14,Animal Farm,George Orwell,1945.0,3.87,classics fiction favorites classic dystopia,https://images.gr-assets.com/books/1424037542s/7613.jpg,1881700,66854,135147,433432,698642,648912,9780452284240,https://images.gr-assets.com/books/1424037542m/7613.jpg,,
14,15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947.0,4.1,non-fiction classics history biography to-read,https://images.gr-assets.com/books/1358276407s/48855.jpg,1972666,45225,91270,355756,656870,875372,9780553296980,https://images.gr-assets.com/books/1358276407m/48855.jpg,,
15,16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland",2005.0,4.11,to-read currently-reading fiction mystery favorites,https://images.gr-assets.com/books/1327868566s/2429135.jpg,1808403,54835,86051,285413,667485,836050,9780307269750,https://images.gr-assets.com/books/1327868566m/2429135.jpg,,
16,17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,2009.0,4.3,young-adult dystopia fantasy sci-fi to-read,https://images.gr-assets.com/books/1358273780s/6148028.jpg,1831039,10492,48030,262010,687238,980309,9780439023500,https://images.gr-assets.com/books/1358273780m/6148028.jpg,,
17,18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck",1999.0,4.53,favorites fantasy currently-reading young-adult to-read,https://images.gr-assets.com/books/1499277281s/5.jpg,1832823,6716,20413,166129,509447,1266670,9780439655480,https://images.gr-assets.com/books/1499277281m/5.jpg,,
18,19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,1954.0,4.34,fantasy to-read classics fiction books-i-own,https://images.gr-assets.com/books/1298411339s/34.jpg,1766803,38031,55862,202332,493922,1042394,9780618346260,https://images.gr-assets.com/books/1298411339m/34.jpg,,
19,20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,2010.0,4.03,currently-reading favorites young-adult dystopian fiction,https://images.gr-assets.com/books/1358275419s/7260188.jpg,1719760,30144,110498,373060,618271,738775,9780439023510,https://images.gr-assets.com/books/1358275419m/7260188.jpg,,
20,21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré",2003.0,4.46,to-read currently-reading fantasy favorites children,https://images.gr-assets.com/books/1387141547s/2.jpg,1735368,9528,31577,180210,494427,1124806,9780439358070,https://images.gr-assets.com/books/1387141547m/2.jpg,,
21,22,The Lovely Bones,Alice Sebold,2002.0,3.77,to-read fiction favorites mystery books-i-own,https://images.gr-assets.com/books/1457810586s/12232938.jpg,1605173,62777,131188,404699,583575,479323,9780316166680,https://images.gr-assets.com/books/1457810586m/12232938.jpg,,
22,23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré",1998.0,4.37,fantasy favorites currently-reading young-adult fiction,https://images.gr-assets.com/books/1474169725s/15881.jpg,1779331,8253,42251,242345,548266,1065084,9780439064870,https://images.gr-assets.com/books/1474169725m/15881.jpg,,
23,24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré",2000.0,4.53,fantasy young-adult fiction harry-potter owned,https://images.gr-assets.com/books/1361482611s/6.jpg,1753043,6676,20210,151785,494926,1195045,9780439139600,https://images.gr-assets.com/books/1361482611m/6.jpg,,
24,25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré",2007.0,4.61,favorites fantasy young-adult fiction harry-potter,https://images.gr-assets.com/books/1474171184s/136251.jpg,1746574,9363,22245,113646,383914,1318227,9780545010220,https://images.gr-assets.com/books/1474171184m/136251.jpg,,
25,26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,2003.0,3.79,fiction currently-reading favorites thriller to-read,https://images.gr-assets.com/books/1303252999s/968.jpg,1447148,71345,126493,340790,539277,479387,9780307277670,https://images.gr-assets.com/books/1303252999m/968.jpg,,
26,27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré",2005.0,4.54,to-read fantasy favorites currently-reading young-adult,https://images.gr-assets.com/books/1361039191s/1.jpg,1678823,7308,21516,136333,459028,1161491,9780439785970,https://images.gr-assets.com/books/1361039191m/1.jpg,,
27,28,Lord of the Flies,William Golding,1954.0,3.64,classics to-read fiction favorites classic,https://images.gr-assets.com/books/1327869409s/7624.jpg,1605019,92779,160295,425648,564916,427846,9780140283330,https://images.gr-assets.com/books/1327869409m/7624.jpg,,
28,29,Romeo and Juliet,"William Shakespeare, Robert           Jackson",1595.0,3.73,to-read classics plays fiction romance,https://images.gr-assets.com/books/1327872146s/18135.jpg,1628519,57980,153179,452673,519822,489235,9780743477120,https://images.gr-assets.com/books/1327872146m/18135.jpg,,
29,30,Gone Girl,Gillian Flynn,2012.0,4.03,to-read favorites mystery crime fiction,https://images.gr-assets.com/books/1339602131s/8442457.jpg,512475,38874,80807,280331,616031,610476,9780297859380,https://images.gr-assets.com/books/1339602131m/8442457.jpg,,
30,31,The Help,Kathryn Stockett,2009.0,4.45,to-read currently-reading favorites fiction historical-fiction,https://images.gr-assets.com/books/1346100365s/4667024.jpg,1531753,10235,25117,134887,490754,942552,9780399155340,https://images.gr-assets.com/books/1346100365m/4667024.jpg,,
31,32,Of Mice and Men,John Steinbeck,1937.0,3.84,classics to-read fiction favorites classic,https://images.gr-assets.com/books/1437235233s/890.jpg,1467496,46630,110856,355169,532291,473795,9780142000670,https://images.gr-assets.com/books/1437235233m/890.jpg,,
32,33,Memoirs of a Geisha,Arthur Golden,1997.0,4.08,to-read favorites fiction historical-fiction currently-reading,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1300209,23500,59033,258700,517157,559782,9780739326220,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
33,34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,2011.0,3.67,to-read currently-reading romance book-club fifty-shades,https://images.gr-assets.com/books/1385207843s/10818853.jpg,1338493,165455,152293,252185,294976,571909,9781612130290,https://images.gr-assets.com/books/1385207843m/10818853.jpg,,
34,35,The Alchemist,"Paulo Coelho, Alan R. Clarke",1988.0,3.82,to-read currently-reading fiction favorites classics,https://images.gr-assets.com/books/1483412266s/865.jpg,1299566,74846,123614,289143,412180,504212,9780061122420,https://images.gr-assets.com/books/1483412266m/865.jpg,,
35,36,"The Giver (The Giver, #1)",Lois Lowry,1993.0,4.12,to-read favorites children fiction classics,https://images.gr-assets.com/books/1342493368s/3636.jpg,1296825,26497,59652,225326,448691,585279,9780385732550,https://images.gr-assets.com/books/1342493368m/3636.jpg,,
36,37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,1950.0,4.19,fantasy to-read classics favorites fiction,https://images.gr-assets.com/books/1353029077s/100915.jpg,1531800,19309,55542,262038,513366,734629,9780060764890,https://images.gr-assets.com/books/1353029077m/100915.jpg,,
37,38,The Time Traveler's Wife,Audrey Niffenegger,2003.0,3.95,to-read fiction romance fantasy time-travel,https://images.gr-assets.com/books/1437728815s/14050.jpg,746287,44339,85429,257805,427210,493884,9780965818670,https://images.gr-assets.com/books/1437728815m/14050.jpg,,
38,39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,1996.0,4.45,to-read fiction currently-reading owned epic-fantasy,https://images.gr-assets.com/books/1436732693s/13496.jpg,1319204,19988,28983,114092,404583,874574,9780553588480,https://images.gr-assets.com/books/1436732693m/13496.jpg,,
39,40,"Eat, Pray, Love",Elizabeth Gilbert,2006.0,3.51,to-read non-fiction memoir travel currently-reading,https://images.gr-assets.com/books/1503066414s/19501.jpg,1181647,100373,149549,310212,332191,314272,9780143038410,https://images.gr-assets.com/books/1503066414m/19501.jpg,,
40,41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,2005.0,4.23,to-read fantasy favorites currently-reading young-adult,https://images.gr-assets.com/books/1400602609s/28187.jpg,1366265,18303,48294,219638,435514,689365,9780786838650,https://images.gr-assets.com/books/1400602609m/28187.jpg,,
41,42,"Little Women (Little Women, #1)",Louisa May Alcott,1868.0,4.04,to-read currently-reading classics favorites fiction,https://s.gr-assets.com/assets/nophoto/book/50x75-a91bf249278a81aabab721ef782c4a74.png,1257121,31645,70011,250794,426280,535563,9780451529300,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,,
42,43,Jane Eyre,"Charlotte Brontë, Michael Mason",1847.0,4.1,to-read clàssics literature gothic historical,https://images.gr-assets.com/books/1327867269s/10210.jpg,1198557,35132,64274,212294,400214,574221,9780142437210,https://images.gr-assets.com/books/1327867269m/10210.jpg,,
43,44,"The Notebook (The Notebook, #1)",Nicholas Sparks,1996.0,4.06,to-read fiction nicholas-sparks currently-reading chick-lit,https://images.gr-assets.com/books/1385738917s/15931.jpg,1053403,41395,63432,176469,298259,497194,9780553816720,https://images.gr-assets.com/books/1385738917m/15931.jpg,,
44,45,Life of Pi,Yann Martel,2001.0,3.88,to-read fantasy book-club currently-reading adventure,https://images.gr-assets.com/books/1320562005s/4214.jpg,1003228,39768,74331,218702,384164,360466,9780770430080,https://images.gr-assets.com/books/1320562005m/4214.jpg,,
45,46,Water for Elephants,Sara Gruen,2006.0,4.07,to-read currently-reading fiction favorites historical-fiction,https://images.gr-assets.com/books/1494428973s/43641.jpg,1068146,16705,49832,200154,417328,424820,9781565125600,https://images.gr-assets.com/books/1494428973m/43641.jpg,,
46,47,The Book Thief,Markus Zusak,2005.0,4.36,favorites to-read historical-fiction fiction young-adult,https://images.gr-assets.com/books/1390053681s/19063.jpg,1159741,17892,35360,135272,377218,722056,9780375831000,https://images.gr-assets.com/books/1390053681m/19063.jpg,,
47,48,Fahrenheit 451,Ray Bradbury,1953.0,3.97,to-read classics currently-reading favorites fiction,https://images.gr-assets.com/books/1351643740s/4381.jpg,570498,28366,64289,238242,426292,419051,9780307347980,https://images.gr-assets.com/books/1351643740m/4381.jpg,,
48,49,"New Moon (Twilight, #2)",Stephenie Meyer,2006.0,3.52,to-read young-adult fantasy romance currently-reading,https://images.gr-assets.com/books/1361039440s/49041.jpg,1149630,102837,160660,294207,290612,350684,9780316160190,https://images.gr-assets.com/books/1361039440m/49041.jpg,,
49,50,Where the Sidewalk Ends,Shel Silverstein,1974.0,4.29,to-read poetry favorites childrens children,https://images.gr-assets.com/books/1168052448s/30119.jpg,1016888,16590,30792,139024,293222,544153,9780060513030,https://images.gr-assets.com/books/1168052448m/30119.jpg,,
50,51,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,2007.0,4.12,favorites young-adult to-read paranormal romance,https://images.gr-assets.com/books/1432730315s/256683.jpg,1154031,34122,65349,203466,356048,582814,9781416914280,https://images.gr-assets.com/books/1432730315m/256683.jpg,,
51,52,"Eclipse (Twilight, #3)",Stephenie Meyer,2007.0,3.69,young-adult fantasy favorites romance vampires,https://images.gr-assets.com/books/1361038355s/428263.jpg,1134511,83094,124293,260763,309358,399134,9780316160210,https://images.gr-assets.com/books/1361038355m/428263.jpg,,
52,53,"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,2002.0,3.86,fantasy to-read favorites young-adult fiction,https://images.gr-assets.com/books/1366212852s/113436.jpg,1104021,50563,88536,240157,337943,408032,9780375826700,https://images.gr-assets.com/books/1366212852m/113436.jpg,,
53,54,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,1979.0,4.2,to-read currently-reading science-fiction favorites sci-fi,https://images.gr-assets.com/books/1327656754s/11.jpg,936782,21764,41962,145173,299579,498001,9780345391800,https://images.gr-assets.com/books/1327656754m/11.jpg,,
54,55,Brave New World,Aldous Huxley,1932.0,3.97,to-read classics fiction favorites science-fiction,https://images.gr-assets.com/books/1487389574s/5129.jpg,1022601,26367,60328,219895,389379,383166,9780060929880,https://images.gr-assets.com/books/1487389574m/5129.jpg,,
55,56,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,2008.0,3.7,to-read fantasy default young-adult sci-fi-fantasy,https://images.gr-assets.com/books/1361039438s/1162543.jpg,1070245,100994,114893,213402,267706,410714,9780316067930,https://images.gr-assets.com/books/1361039438m/1162543.jpg,,
56,57,The Secret Life of Bees,Sue Monk Kidd,2001.0,4.01,to-read fiction currently-reading favorites historical-fiction,https://images.gr-assets.com/books/1473454532s/37435.jpg,916189,17500,45455,185631,347540,341267,9780142001740,https://images.gr-assets.com/books/1473454532m/37435.jpg,,
